name,salary,link,exp
"Копирайтер (финансы, комплаенс)",,https://krasnoyarsk.hh.ru/vacancy/95394092,1–3 года
UI Writer and Localization Manager,,https://krasnoyarsk.hh.ru/vacancy/95815074,1–3 года
Копирайтер,,https://krasnoyarsk.hh.ru/vacancy/94698682,3–6 лет
Лингвист-аналитик,от 95 000 ₽ на руки,https://krasnoyarsk.hh.ru/vacancy/82742802,1–3 года
Social Media Specialist / Content Editor for New Media in MENA,,https://krasnoyarsk.hh.ru/vacancy/96530361,1–3 года
SEO copywriter (english/portuguese),,https://krasnoyarsk.hh.ru/vacancy/96386085,1–3 года
SMM Manager (Morocco),,https://krasnoyarsk.hh.ru/vacancy/95469683,3–6 лет
Interns Copywriters,,https://krasnoyarsk.hh.ru/vacancy/96496516,не требуется
Копирайтер,,https://krasnoyarsk.hh.ru/vacancy/94964029,1–3 года
Technical English Editor,,https://krasnoyarsk.hh.ru/vacancy/92106363,3–6 лет
Content Editor in Books Section,,https://krasnoyarsk.hh.ru/vacancy/95422842,не требуется
Middle+ Computer Vision Researcher (удаленно),,https://krasnoyarsk.hh.ru/vacancy/96549138,3–6 лет
Разработчик C# (WPF) Frontend Developer,,https://krasnoyarsk.hh.ru/vacancy/95697490,1–3 года
Project Manager (Outsource),,https://krasnoyarsk.hh.ru/vacancy/96506160,3–6 лет
Technical English Editor,,https://krasnoyarsk.hh.ru/vacancy/92106362,3–6 лет
"Руководитель группы тестирования Python, Маркетплейс, Навыки чат-ботов",,https://krasnoyarsk.hh.ru/vacancy/96530280,3–6 лет
Инженер электросвязи 2 категории,,https://krasnoyarsk.hh.ru/vacancy/94488016,3–6 лет
"Копирайтер (финансы, комплаенс)",,https://krasnoyarsk.hh.ru/vacancy/95394092,1–3 года
SMM Manager (Morocco),,https://krasnoyarsk.hh.ru/vacancy/95469683,3–6 лет
Интернет-маркетолог,,https://krasnoyarsk.hh.ru/vacancy/96282873,не требуется
Копирайтер,,https://krasnoyarsk.hh.ru/vacancy/94698682,3–6 лет
UI Writer and Localization Manager,,https://krasnoyarsk.hh.ru/vacancy/95815074,1–3 года
Social Media Specialist / Content Editor for New Media in MENA,,https://krasnoyarsk.hh.ru/vacancy/96530361,1–3 года
Копирайтер,,https://krasnoyarsk.hh.ru/vacancy/94964029,1–3 года
"PR manager UAE, Dubai",,https://krasnoyarsk.hh.ru/vacancy/96389515,3–6 лет
SEO copywriter (english/portuguese),,https://krasnoyarsk.hh.ru/vacancy/96386085,1–3 года
Разработчик C# (WPF) Frontend Developer,,https://krasnoyarsk.hh.ru/vacancy/95697490,1–3 года
Interns Copywriters,,https://krasnoyarsk.hh.ru/vacancy/96496516,не требуется
Лингвист-аналитик,от 95 000 ₽ на руки,https://krasnoyarsk.hh.ru/vacancy/82742802,1–3 года
Middle+ Computer Vision Researcher (удаленно),,https://krasnoyarsk.hh.ru/vacancy/96549138,3–6 лет
Middle+ Computer Vision Researcher (удаленно),,https://krasnoyarsk.hh.ru/vacancy/93696854,3–6 лет
Technical English Editor,,https://krasnoyarsk.hh.ru/vacancy/92106363,3–6 лет
Technical English Editor,,https://krasnoyarsk.hh.ru/vacancy/92106362,3–6 лет
"Руководитель группы тестирования Python, Маркетплейс, Навыки чат-ботов",,https://krasnoyarsk.hh.ru/vacancy/96530280,3–6 лет
Content Editor in Books Section,,https://krasnoyarsk.hh.ru/vacancy/95422842,не требуется
Инженер электросвязи 2 категории,,https://krasnoyarsk.hh.ru/vacancy/94488016,3–6 лет
"PR manager UAE, Dubai",,https://krasnoyarsk.hh.ru/vacancy/96389515,3–6 лет
Интернет-маркетолог,,https://krasnoyarsk.hh.ru/vacancy/96282873,не требуется
Project Manager (Outsource),,https://krasnoyarsk.hh.ru/vacancy/96506160,3–6 лет
Interns Copywriters,,https://krasnoyarsk.hh.ru/vacancy/96496516,не требуется
Middle+ Computer Vision Researcher (удаленно),,https://krasnoyarsk.hh.ru/vacancy/93696854,3–6 лет
Копирайтер,,https://krasnoyarsk.hh.ru/vacancy/94698682,3–6 лет
SEO copywriter (english/portuguese),,https://krasnoyarsk.hh.ru/vacancy/96386085,1–3 года
,,https://krasnoyarsk.hh.ru/vacancy/92106362,
Middle+ Computer Vision Researcher (удаленно),,https://krasnoyarsk.hh.ru/vacancy/96549138,3–6 лет
Technical English Editor,,https://krasnoyarsk.hh.ru/vacancy/92106363,3–6 лет
Лингвист-аналитик,от 95 000 ₽ на руки,https://krasnoyarsk.hh.ru/vacancy/82742802,1–3 года
Копирайтер,,https://krasnoyarsk.hh.ru/vacancy/94964029,1–3 года
SMM Manager (Morocco),,https://krasnoyarsk.hh.ru/vacancy/95469683,3–6 лет
UI Writer and Localization Manager,,https://krasnoyarsk.hh.ru/vacancy/95815074,1–3 года
"Копирайтер (финансы, комплаенс)",,https://krasnoyarsk.hh.ru/vacancy/95394092,1–3 года
Social Media Specialist / Content Editor for New Media in MENA,,https://krasnoyarsk.hh.ru/vacancy/96530361,1–3 года
Project Manager (Outsource),,https://krasnoyarsk.hh.ru/vacancy/96506160,3–6 лет
Content Editor in Books Section,,https://krasnoyarsk.hh.ru/vacancy/95422842,не требуется
"PR manager UAE, Dubai",,https://krasnoyarsk.hh.ru/vacancy/96389515,3–6 лет
Интернет-маркетолог,,https://krasnoyarsk.hh.ru/vacancy/96282873,не требуется
Инженер электросвязи 2 категории,,https://krasnoyarsk.hh.ru/vacancy/94488016,3–6 лет
Разработчик C# (WPF) Frontend Developer,,https://krasnoyarsk.hh.ru/vacancy/95697490,1–3 года
"Руководитель группы тестирования Python, Маркетплейс, Навыки чат-ботов",,https://krasnoyarsk.hh.ru/vacancy/96530280,3–6 лет
Middle+ Computer Vision Researcher (удаленно),,https://krasnoyarsk.hh.ru/vacancy/93696854,3–6 лет
Копирайтер,,https://krasnoyarsk.hh.ru/vacancy/94698682,3–6 лет
Interns Copywriters,,https://krasnoyarsk.hh.ru/vacancy/96496516,не требуется
